,0
503,8
504,2
505,0
506,3
507,0
508,0
509,0
510,5
511,5
512,9
513,8
514,8
515,6
516,8
517,8
518,0
519,4
520,0
521,4
522,1
523,2
524,7
525,7
526,6
527,7
528,4
529,2
530,4
531,4
532,4
533,1
534,4
535,1
536,9
537,3
538,0
539,8
540,6
541,1
542,0
543,6
544,1
545,7
546,7
547,9
548,0
549,8
550,4
551,2
552,0
553,4
554,5
555,5
556,1
557,4
558,4
559,8
560,5
561,7
562,1
563,0
564,7
565,4
566,4
567,7
568,4
569,6
570,0
571,4
572,0
573,6
574,6
575,4
576,6
577,6
578,0
579,5
580,0
581,7
582,6
583,9
584,2
585,1
586,7
587,8
588,7
589,4
590,6
591,6
592,7
593,4
594,4
595,6
596,6
597,8
598,4
599,1
600,8
601,0
602,8
603,6
604,0
605,5
606,6
607,8
608,7
609,6
610,8
611,7
612,8
613,0
614,4
615,3
616,4
617,5
618,6
619,4
620,7
621,0
622,1
623,4
624,9
625,8
626,5
627,4
628,4
629,8
630,4
631,0
632,8
633,9
634,1
635,9
636,1
637,6
638,4
639,5
640,4
641,0
642,7
643,9
644,7
645,0
646,4
647,2
648,6
649,4
650,4
651,1
652,2
653,9
654,7
655,0
656,7
657,6
658,1
659,4
660,1
661,0
662,4
663,2
664,0
665,8
666,5
667,2
668,4
669,6
670,5
671,1
672,2
673,5
674,0
675,2
676,5
677,6
678,1
679,4
680,8
681,1
682,2
683,6
684,4
685,0
686,6
687,6
688,0
689,4
690,9
691,0
692,4
693,4
694,0
695,2
696,4
697,1
698,1
699,0
700,2
701,7
702,5
703,1
704,7
705,1
706,4
707,4
708,4
709,0
710,0
711,6
712,4
713,7
714,6
715,9
716,2
717,8
718,0
719,1
720,6
721,7
722,1
723,8
724,8
725,3
726,4
727,6
728,6
729,4
730,1
731,8
732,8
733,4
734,4
735,2
736,1
737,8
738,6
739,0
740,4
741,6
742,7
743,4
744,8
745,3
746,4
747,6
748,4
749,3
750,7
751,6
752,4
753,6
754,3
755,2
756,4
757,4
758,5
759,4
760,5
761,0
762,1
763,7
764,8
765,5
766,6
767,3
768,2
769,4
770,5
771,1
772,2
773,4
774,4
775,9
776,1
777,2
778,6
779,0
780,6
781,6
782,6
783,2
784,1
785,6
786,4
787,6
788,4
789,1
790,2
791,1
792,6
793,6
794,7
795,4
796,8
797,0
798,2
799,9
800,6
801,6
802,1
803,1
804,8
805,0
806,6
807,6
808,6
809,2
810,1
811,6
812,6
813,5
814,4
815,6
816,9
817,8
818,2
819,6
820,8
821,7
822,1
823,8
824,3
825,1
826,2
827,5
828,9
829,0
830,8
831,2
832,4
833,4
834,4
835,3
836,3
837,6
838,1
839,0
840,3
841,1
842,5
843,1
844,6
845,7
846,5
847,6
848,3
849,6
850,2
851,7
852,1
853,5
854,7
855,6
856,0
857,0
858,8
859,4
860,8
861,8
862,4
863,8
864,0
865,0
866,0
867,9
868,8
869,0
870,0
871,7
872,0
873,9
874,5
875,8
876,6
877,7
878,6
879,0
880,5
881,4
882,5
883,6
884,7
885,4
886,8
887,6
888,8
889,2
890,6
891,9
892,9
893,1
894,6
895,6
896,8
897,0
898,0
899,6
900,4
901,1
902,4
903,8
904,7
905,9
906,1
907,3
908,5
909,1
910,1
911,5
912,6
913,1
914,0
915,6
916,1
917,1
918,2
919,0
920,2
921,8
922,0
923,6
924,8
925,6
926,8
927,6
928,1
929,2
930,2
931,4
932,7
933,6
934,6
935,0
936,0
937,8
938,6
939,7
940,4
941,1
942,8
943,0
944,0
945,9
946,4
947,4
948,2
949,2
950,5
951,4
952,8
953,5
954,4
955,6
956,4
957,6
958,6
959,4
960,2
961,0
962,4
963,2
964,3
965,8
966,5
967,2
968,4
969,1
970,6
971,1
972,7
973,8
974,9
975,8
976,6
977,3
978,6
979,2
980,8
981,7
982,6
983,0
984,2
985,9
986,4
987,4
988,2
989,8
990,8
991,6
992,4
993,8
994,4
995,8
996,9
997,7
998,4
999,1
1000,5
1001,7
1002,9
1003,6
1004,2
1005,4
1006,4
1007,0
1008,2
1009,7
1010,1
1011,2
1012,4
1013,4
1014,4
1015,5
1016,8
1017,8
1018,0
1019,3
1020,6
1021,5
1022,0
1023,1
1024,5
1025,3
1026,6
1027,2
1028,7
1029,0
1030,3
1031,8
1032,0
1033,0
1034,7
1035,8
1036,6
1037,2
1038,2
1039,4
1040,2
1041,0
1042,6
1043,1
1044,4
1045,4
1046,0
1047,7
1048,1
1049,8
1050,8
1051,1
1052,0
1053,8
1054,2
1055,1
1056,9
1057,5
1058,5
1059,1
1060,1
1061,7
1062,4
1063,5
1064,9
1065,9
1066,6
1067,6
1068,4
1069,6
1070,7
1071,1
1072,0
1073,0
1074,0
1075,2
1076,9
1077,4
1078,4
1079,8
1080,4
1081,4
1082,0
1083,2
1084,7
1085,4
1086,1
1087,0
1088,1
1089,6
1090,1
1091,4
1092,2
1093,0
1094,7
1095,6
1096,1
1097,2
1098,6
1099,8
1100,1
1101,6
1102,6
1103,4
1104,5
1105,5
1106,8
1107,6
1108,4
1109,7
1110,1
1111,1
1112,8
1113,0
1114,6
1115,0
1116,4
1117,2
1118,0
1119,4
1120,0
1121,8
1122,4
1123,8
1124,0
1125,4
1126,1
1127,0
1128,1
1129,3
1130,1
1131,0
1132,8
1133,4
1134,6
1135,0
1136,2
1137,2
1138,0
1139,2
1140,1
1141,4
1142,4
1143,5
1144,6
1145,1
1146,6
1147,1
1148,7
1149,0
1150,6
1151,4
1152,1
1153,0
1154,7
1155,0
1156,4
1157,5
1158,1
1159,5
1160,1
1161,4
1162,8
1163,5
1164,1
1165,4
1166,6
1167,5
1168,0
1169,0
1170,6
1171,4
1172,6
1173,5
1174,9
1175,4
1176,8
1177,6
1178,8
1179,2
1180,2
1181,2
1182,4
1183,5
1184,9
1185,0
1186,1
1187,0
1188,7
1189,2
1190,6
1191,8
1192,4
1193,2
1194,5
1195,7
1196,4
1197,0
1198,6
1199,8
1200,0
1201,2
1202,6
1203,7
1204,4
1205,6
1206,9
1207,8
1208,0
1209,0
1210,9
1211,3
1212,0
1213,2
1214,3
1215,6
1216,4
1217,2
1218,7
1219,6
1220,7
1221,0
1222,1
1223,7
1224,4
1225,0
1226,4
1227,0
1228,0
1229,0
1230,1
1231,7
1232,4
1233,4
1234,0
1235,6
1236,4
1237,9
1238,2
1239,0
1240,2
1241,5
1242,4
1243,4
1244,4
1245,8
1246,7
1247,6
1248,6
1249,0
1250,2
1251,8
1252,7
1253,8
1254,2
1255,4
1256,6
1257,3
1258,0
1259,6
1260,2
1261,7
1262,4
1263,1
1264,4
1265,6
1266,8
1267,6
1268,0
1269,8
1270,4
1271,7
1272,1
1273,8
1274,4
1275,4
1276,1
1277,1
1278,6
1279,5
1280,2
1281,0
1282,1
1283,9
1284,6
1285,0
1286,0
1287,0
1288,8
1289,4
1290,6
1291,7
1292,8
1293,8
1294,7
1295,3
1296,4
1297,7
1298,6
1299,6
1300,1
1301,4
1302,4
1303,8
1304,1
1305,3
1306,1
1307,8
1308,1
1309,1
1310,6
1311,4
1312,0
1313,4
1314,1
1315,6
1316,3
1317,6
1318,3
1319,6
1320,0
1321,4
1322,5
1323,4
1324,0
1325,4
1326,9
1327,1
1328,1
1329,2
1330,4
1331,6
1332,8
1333,7
1334,6
1335,9
1336,9
1337,8
1338,2
1339,6
1340,0
1341,8
1342,1
1343,4
1344,4
1345,4
1346,5
1347,1
1348,8
1349,9
1350,2
1351,3
1352,8
1353,0
1354,6
1355,5
1356,0
1357,1
1358,2
1359,5
1360,2
1361,2
1362,8
1363,4
1364,8
1365,9
1366,4
1367,6
1368,2
1369,1
1370,0
1371,6
1372,9
1373,4
1374,8
1375,6
1376,0
1377,8
1378,0
1379,7
1380,1
1381,9
1382,1
1383,0
1384,0
1385,4
1386,5
1387,4
1388,8
1389,0
1390,7
1391,1
1392,2
1393,6
1394,6
1395,8
1396,5
1397,4
1398,6
1399,7
1400,4
1401,1
1402,4
1403,0
1404,0
1405,0
1406,0
1407,8
1408,7
1409,2
1410,8
1411,7
1412,9
1413,4
1414,4
1415,6
1416,7
1417,1
1418,1
1419,1
1420,8
1421,4
1422,1
1423,5
1424,2
1425,0
1426,6
1427,1
1428,4
1429,1
1430,2
1431,6
1432,6
1433,0
1434,2
1435,4
1436,0
1437,4
1438,7
1439,4
1440,5
1441,6
1442,6
1443,0
1444,1
1445,7
1446,9
1447,0
1448,3
1449,1
1450,8
1451,8
1452,4
1453,4
1454,8
1455,5
1456,8
1457,7
1458,8
1459,8
1460,0
1461,1
1462,8
1463,6
1464,6
1465,2
1466,7
1467,0
1468,7
1469,0
1470,0
1471,0
1472,6
1473,0
1474,0
1475,4
1476,6
1477,4
1478,4
1479,6
1480,6
1481,1
1482,8
1483,2
1484,2
1485,8
1486,4
1487,7
1488,1
1489,6
1490,6
1491,8
1492,1
1493,0
1494,4
1495,0
1496,4
1497,1
1498,1
1499,6
1500,3
1501,1
1502,0
1503,6
1504,7
1505,2
1506,8
1507,5
1508,1
1509,1
1510,6
1511,1
1512,4
1513,6
1514,6
1515,2
1516,1
1517,7
1518,9
1519,6
1520,5
1521,0
1522,4
1523,6
1524,0
1525,7
1526,7
1527,4
1528,2
1529,1
1530,4
1531,6
1532,5
1533,8
1534,8
1535,7
1536,8
1537,4
1538,8
1539,6
1540,1
1541,6
1542,4
1543,5
1544,1
1545,1
1546,4
1547,5
1548,2
1549,8
1550,0
1551,9
1552,4
1553,0
1554,4
1555,3
1556,0
1557,5
1558,7
1559,6
1560,0
1561,1
1562,6
1563,5
1564,4
1565,8
1566,4
1567,6
1568,6
1569,8
1570,8
1571,4
1572,0
1573,0
1574,8
1575,5
1576,4
1577,8
1578,8
1579,0
1580,5
1581,5
1582,3
1583,6
1584,0
1585,8
1586,0
1587,0
1588,6
1589,7
1590,7
1591,6
1592,2
1593,4
1594,1
1595,4
1596,4
1597,5
1598,0
1599,4
1600,6
1601,8
1602,4
1603,2
1604,9
1605,6
1606,1
1607,0
1608,6
1609,8
1610,7
1611,6
1612,6
1613,6
1614,4
1615,6
1616,8
1617,6
1618,0
1619,6
1620,9
1621,8
1622,1
1623,7
1624,4
1625,4
1626,0
1627,1
1628,6
1629,0
1630,2
1631,4
1632,8
1633,3
1634,5
1635,0
1636,5
1637,0
1638,8
1639,0
1640,1
1641,8
1642,8
1643,2
1644,6
1645,1
1646,3
1647,5
1648,4
1649,1
1650,7
1651,0
1652,1
1653,0
1654,6
1655,1
1656,9
1657,2
1658,9
1659,2
1660,5
1661,6
1662,8
1663,6
1664,6
1665,4
1666,1
1667,2
1668,4
1669,6
1670,0
1671,1
1672,0
1673,2
1674,2
1675,0
1676,4
1677,0
1678,4
1679,1
1680,5
1681,1
1682,8
1683,6
1684,0
1685,8
1686,6
1687,0
1688,4
1689,8
1690,6
1691,4
1692,7
1693,0
1694,0
1695,5
1696,4
1697,5
1698,8
1699,1
1700,7
1701,4
1702,6
1703,5
1704,2
1705,4
1706,1
1707,4
1708,7
1709,6
1710,5
1711,9
1712,7
1713,7
1714,4
1715,2
1716,3
1717,7
1718,1
1719,0
1720,1
1721,4
1722,4
1723,7
1724,1
1725,4
1726,7
1727,2
1728,2
1729,3
1730,6
1731,6
1732,6
1733,8
1734,1
1735,4
1736,2
1737,6
1738,6
1739,7
1740,0
1741,2
1742,6
1743,1
1744,8
1745,5
1746,6
1747,0
1748,7
1749,6
1750,4
1751,4
1752,6
1753,2
1754,0
1755,0
1756,0
1757,6
1758,6
1759,0
1760,2
1761,0
1762,7
1763,0
1764,7
1765,6
1766,3
1767,4
1768,7
1769,6
1770,5
1771,6
1772,1
1773,2
1774,0
1775,7
1776,2
1777,7
1778,1
1779,6
1780,2
1781,4
1782,8
1783,1
1784,4
1785,4
1786,5
1787,1
1788,4
1789,6
1790,1
1791,2
1792,4
1793,1
1794,7
1795,8
1796,7
1797,6
1798,6
1799,4
1800,1
1801,1
1802,8
1803,6
1804,6
1805,1
1806,4
1807,7
1808,8
1809,4
1810,7
1811,0
1812,1
1813,7
1814,5
1815,1
1816,4
1817,9
1818,4
1819,8
1820,3
1821,1
1822,8
1823,4
1824,6
1825,4
1826,7
1827,6
1828,6
1829,2
1830,3
1831,8
1832,0
1833,6
1834,2
1835,2
1836,2
1837,6
1838,9
1839,6
1840,6
1841,7
1842,9
1843,8
1844,2
1845,6
1846,6
1847,7
1848,5
1849,5
1850,4
1851,4
1852,4
1853,1
1854,8
1855,6
1856,6
1857,1
1858,8
1859,0
1860,6
1861,2
1862,4
1863,8
1864,4
1865,5
1866,6
1867,2
1868,2
1869,4
1870,7
1871,0
1872,4
1873,1
1874,6
1875,1
1876,2
1877,0
1878,6
1879,0
1880,8
1881,4
1882,6
1883,1
1884,2
1885,3
1886,0
1887,1
1888,4
1889,6
1890,9
1891,9
1892,7
1893,6
1894,4
1895,8
1896,7
1897,2
1898,7
1899,6
1900,2
1901,4
1902,6
1903,4
1904,4
1905,4
1906,4
1907,7
1908,4
1909,2
1910,6
1911,0
1912,0
1913,0
1914,0
1915,6
1916,4
1917,6
1918,8
1919,4
1920,4
1921,8
1922,3
1923,6
1924,1
1925,1
1926,6
1927,9
1928,6
1929,4
1930,8
1931,6
1932,9
1933,4
1934,2
1935,5
1936,6
1937,4
1938,8
1939,2
1940,0
1941,5
1942,0
1943,4
1944,7
1945,3
1946,0
1947,8
1948,4
1949,5
1950,1
1951,4
1952,0
1953,6
1954,6
1955,4
1956,1
1957,8
1958,1
1959,8
1960,0
1961,0
1962,0
1963,1
1964,4
1965,8
1966,1
1967,0
1968,4
1969,8
1970,6
1971,4
1972,7
1973,6
1974,4
1975,1
1976,6
1977,8
1978,1
1979,1
1980,1
1981,4
1982,0
1983,6
1984,8
1985,4
1986,2
1987,7
1988,2
1989,4
1990,4
1991,9
1992,5
1993,9
1994,2
1995,7
1996,4
1997,6
1998,4
1999,6
2000,4
2001,6
2002,4
2003,0
2004,4
2005,8
2006,8
2007,1
2008,6
2009,8
2010,2
2011,6
2012,4
2013,2
2014,4
2015,2
2016,8
2017,2
2018,2
2019,4
2020,6
2021,0
2022,4
2023,7
2024,4
2025,6
2026,4
2027,2
2028,5
2029,0
2030,0
2031,6
2032,6
2033,7
2034,2
2035,0
2036,1
2037,6
2038,0
2039,8
2040,8
2041,2
2042,7
2043,0
2044,8
2045,6
2046,4
2047,8
2048,1
2049,4
2050,0
2051,3
2052,4
2053,4
2054,5
2055,8
2056,0
2057,8
2058,0
2059,4
2060,7
2061,6
2062,8
2063,4
2064,0
2065,0
2066,4
2067,8
2068,1
2069,6
2070,4
2071,4
2072,6
2073,6
2074,5
2075,6
2076,6
2077,6
2078,0
2079,4
2080,0
2081,8
2082,9
2083,6
2084,1
2085,6
2086,6
2087,7
2088,1
2089,4
2090,4
2091,1
2092,9
2093,0
2094,4
2095,4
2096,7
2097,4
2098,7
2099,0
2100,6
2101,9
2102,0
2103,0
2104,1
2105,6
2106,7
2107,7
2108,6
2109,4
2110,9
2111,6
2112,8
2113,0
2114,0
2115,1
2116,0
2117,4
2118,7
2119,0
2120,5
2121,4
2122,9
2123,5
2124,1
2125,4
2126,9
2127,7
2128,6
2129,8
2130,5
2131,4
2132,4
2133,9
2134,4
2135,3
2136,4
2137,3
2138,0
2139,6
2140,8
2141,1
2142,6
2143,5
2144,8
2145,8
2146,6
2147,4
2148,4
2149,0
2150,4
2151,6
2152,0
2153,0
2154,3
2155,7
2156,8
2157,9
2158,9
2159,0
2160,4
2161,1
2162,6
2163,6
2164,2
2165,1
2166,4
2167,5
2168,6
2169,4
2170,8
2171,2
2172,0
2173,1
2174,0
2175,2
2176,8
2177,6
2178,7
2179,0
2180,6
2181,1
2182,6
2183,8
2184,8
2185,6
2186,7
2187,5
2188,7
2189,2
2190,7
2191,9
2192,6
2193,8
2194,8
2195,5
2196,4
2197,2
2198,6
2199,0
2200,8
2201,1
2202,5
2203,6
2204,6
2205,5
2206,4
2207,0
2208,6
2209,8
2210,4
2211,0
2212,4
2213,0
2214,6
2215,8
2216,4
2217,7
2218,4
2219,0
2220,1
2221,3
2222,6
2223,5
2224,6
2225,0
2226,7
2227,1
2228,3
2229,6
2230,6
2231,8
2232,4
2233,4
2234,5
2235,3
2236,7
2237,0
2238,5
2239,2
2240,1
2241,2
2242,9
2243,4
2244,4
2245,2
2246,0
2247,6
2248,8
2249,1
2250,5
2251,1
2252,2
2253,8
2254,8
2255,6
2256,1
2257,4
2258,3
2259,1
2260,8
2261,3
2262,5
2263,1
2264,1
2265,4
2266,4
2267,8
2268,1
2269,9
2270,5
2271,0
2272,7
2273,3
2274,1
2275,5
2276,2
2277,3
2278,1
2279,6
2280,6
2281,6
2282,0
2283,2
2284,6
2285,1
2286,8
2287,2
2288,6
2289,0
2290,2
2291,6
2292,4
2293,8
2294,7
2295,7
2296,9
2297,0
2298,0
2299,0
2300,6
2301,5
2302,3
2303,6
2304,7
2305,2
2306,5
2307,5
2308,6
2309,0
2310,4
2311,0
2312,0
2313,4
2314,5
2315,2
2316,2
2317,1
2318,7
2319,8
2320,4
2321,8
2322,6
2323,4
2324,2
2325,4
2326,6
2327,6
2328,7
2329,7
2330,1
2331,8
2332,1
2333,7
2334,5
2335,2
2336,5
2337,8
2338,1
2339,0
2340,1
2341,1
2342,1
2343,2
2344,1
2345,4
2346,0
2347,6
2348,4
2349,0
2350,8
2351,8
2352,8
2353,9
2354,9
2355,2
2356,2
2357,3
2358,4
2359,2
2360,8
2361,5
2362,0
2363,1
2364,6
2365,5
2366,2
2367,4
2368,4
2369,8
2370,8
2371,1
2372,1
2373,4
2374,6
2375,1
2376,7
2377,5
2378,7
2379,2
2380,1
2381,4
2382,0
2383,4
2384,7
2385,7
2386,4
2387,4
2388,4
2389,6
2390,6
2391,0
2392,6
2393,6
2394,1
2395,8
2396,8
2397,6
2398,4
2399,1
2400,7
2401,1
2402,4
2403,7
2404,8
2405,6
2406,3
2407,1
2408,6
2409,3
2410,7
2411,2
2412,9
2413,7
2414,2
2415,8
2416,2
2417,7
2418,3
2419,0
2420,1
2421,4
2422,5
2423,6
2424,6
2425,6
2426,4
2427,6
2428,4
2429,6
2430,6
2431,8
2432,9
2433,9
2434,2
2435,7
2436,1
2437,9
2438,4
2439,9
2440,1
2441,6
2442,5
2443,4
2444,2
2445,4
2446,9
2447,4
2448,4
2449,0
2450,6
2451,0
2452,6
2453,6
2454,4
2455,8
2456,4
2457,5
2458,8
2459,9
2460,4
2461,7
2462,8
2463,4
2464,1
2465,8
2466,8
2467,6
2468,8
2469,8
2470,6
2471,8
2472,4
2473,2
2474,5
2475,9
2476,7
2477,1
2478,1
2479,7
2480,5
2481,9
2482,1
2483,4
2484,4
2485,7
2486,8
2487,0
2488,8
2489,1
2490,5
2491,8
2492,7
2493,4
2494,1
2495,8
2496,8
2497,4
2498,1
2499,1
2500,9
2501,6
2502,6
2503,8
2504,4
2505,1
2506,7
2507,5
2508,4
2509,5
2510,3
2511,6
2512,6
2513,5
2514,4
2515,8
2516,1
2517,0
2518,0
2519,2
2520,6
2521,1
2522,6
2523,1
2524,3
2525,0
2526,6
2527,7
2528,4
2529,3
2530,4
2531,7
2532,4
2533,6
2534,6
2535,8
2536,7
2537,4
2538,1
2539,5
2540,7
2541,2
2542,8
2543,0
2544,4
2545,6
2546,0
2547,4
2548,5
2549,0
2550,6
2551,6
2552,0
2553,2
2554,0
2555,6
2556,6
2557,7
2558,0
2559,6
2560,8
2561,0
2562,8
2563,4
2564,5
2565,1
2566,6
2567,1
2568,7
2569,6
2570,4
2571,6
2572,8
2573,0
2574,6
2575,6
2576,2
2577,4
2578,3
2579,0
2580,4
2581,0
2582,5
2583,6
2584,0
2585,1
2586,0
2587,6
2588,1
2589,7
2590,2
2591,5
2592,7
2593,7
2594,6
2595,1
2596,9
2597,6
2598,2
2599,2
2600,6
2601,8
2602,9
2603,4
2604,6
2605,1
2606,0
2607,9
2608,2
2609,8
2610,0
2611,0
2612,2
2613,1
2614,0
2615,5
2616,6
2617,0
2618,6
2619,7
2620,4
2621,8
2622,4
2623,6
2624,6
2625,9
2626,2
2627,7
2628,4
2629,6
2630,1
2631,8
2632,6
2633,5
2634,6
2635,4
2636,7
2637,1
2638,7
2639,6
2640,0
2641,7
2642,4
2643,8
2644,0
2645,1
2646,2
2647,0
2648,6
2649,7
2650,0
2651,0
2652,6
2653,0
2654,4
2655,3
2656,7
2657,7
2658,4
2659,5
2660,7
2661,3
2662,8
2663,6
2664,8
2665,2
2666,1
2667,0
2668,7
2669,9
2670,7
2671,5
2672,8
2673,4
2674,2
2675,1
2676,3
2677,4
2678,4
2679,8
2680,1
2681,0
2682,0
2683,4
2684,4
2685,4
2686,7
2687,7
2688,2
2689,6
2690,6
2691,6
2692,4
2693,3
2694,4
2695,1
2696,1
2697,4
2698,0
2699,4
2700,1
2701,1
2702,8
2703,7
2704,2
2705,4
2706,2
2707,7
2708,4
2709,4
2710,4
2711,8
2712,6
2713,8
2714,7
2715,4
2716,6
2717,7
2718,8
2719,3
2720,4
2721,8
2722,2
2723,6
2724,0
2725,3
2726,8
2727,6
2728,8
2729,8
2730,5
2731,0
2732,4
2733,8
2734,3
2735,4
2736,5
2737,8
2738,8
2739,0
2740,5
2741,0
2742,4
2743,0
2744,0
2745,6
2746,3
2747,7
2748,7
2749,1
2750,0
2751,8
2752,8
2753,3
2754,8
2755,4
2756,6
2757,2
2758,7
2759,8
2760,5
2761,8
2762,4
2763,7
2764,7
2765,7
2766,8
2767,6
2768,6
2769,5
2770,4
2771,4
2772,2
2773,0
2774,6
2775,6
2776,6
2777,7
2778,8
2779,7
2780,7
2781,4
2782,8
2783,0
2784,9
2785,6
2786,2
2787,8
2788,2
2789,3
2790,0
2791,8
2792,4
2793,0
2794,7
2795,8
2796,4
2797,4
2798,0
2799,6
2800,0
2801,8
2802,7
2803,2
2804,1
2805,4
2806,4
2807,6
2808,4
2809,6
2810,6
2811,7
2812,4
2813,6
2814,6
2815,4
2816,3
2817,7
2818,5
2819,5
2820,4
2821,7
2822,2
2823,4
2824,7
2825,4
2826,8
2827,2
2828,5
2829,6
2830,8
2831,4
2832,0
2833,1
2834,7
2835,4
2836,1
2837,5
2838,9
2839,6
2840,6
2841,4
2842,7
2843,5
2844,1
2845,1
2846,4
2847,4
2848,9
2849,0
2850,0
2851,1
2852,6
2853,6
2854,5
2855,2
2856,0
2857,1
2858,4
2859,0
2860,8
2861,9
2862,0
2863,4
2864,9
2865,6
2866,4
2867,2
2868,2
2869,0
2870,1
2871,0
2872,1
2873,7
2874,1
2875,5
2876,8
2877,4
2878,2
2879,5
2880,3
2881,6
2882,1
2883,5
2884,6
2885,3
2886,4
2887,4
2888,5
2889,1
2890,4
2891,9
2892,1
2893,6
2894,7
2895,0
2896,7
2897,0
2898,4
2899,7
2900,4
2901,4
2902,4
2903,6
2904,8
2905,6
2906,6
2907,1
2908,1
2909,0
2910,9
2911,0
2912,2
2913,6
2914,0
2915,4
2916,4
2917,4
2918,8
2919,4
2920,8
2921,8
2922,0
2923,4
2924,6
2925,0
2926,4
2927,8
2928,3
2929,1
2930,2
2931,0
2932,7
2933,8
2934,1
2935,0
2936,1
2937,8
2938,5
2939,1
2940,9
2941,1
2942,7
2943,2
2944,7
2945,5
2946,2
2947,4
2948,6
2949,0
2950,2
2951,0
2952,6
2953,0
2954,8
2955,0
2956,6
2957,2
2958,4
2959,8
2960,0
2961,4
2962,7
2963,1
2964,4
2965,2
2966,4
2967,1
2968,1
2969,2
2970,6
2971,9
2972,8
2973,1
2974,3
2975,0
2976,8
2977,6
2978,6
2979,4
2980,8
2981,8
2982,2
2983,4
2984,2
2985,6
2986,0
2987,0
2988,7
2989,4
2990,4
2991,6
2992,0
2993,5
2994,4
2995,4
2996,7
2997,2
